id,tree_label,fw_label,fw_code,EDB_group,strain_2,strain_3,strain_4,evcent_norm,pr_norm,closeness_norm,betweenness_norm,outd_norm,alld_norm
1,pellaea_calomelanos,PELCAL,Pellaea calomelanos,13,0.000317865,0.000317191,0.001981076,0,0.064093772,0.065160733,0,0,0.006173545
2,emilia_coccinea,EMICOC,Emilia coccinea,13,0.00144469,0.001443708,0.001972808,0,0.065008237,0.065160733,0,0,0.012347091
3,emilia_ukambensis,LIPUKA,Lippia ukambensis,13,0.000285174,0.000284725,0.000484424,0,0.064116212,0.065160733,0,0,0.006173545
4,blepharis_acanthodioides,BLEACA,Blepharis acanthodioides,13,0.000882481,0.000864443,0.001033538,0,0.065261333,0.065160733,0,0,0.012347091
5,duosperma_kilimandscharicum,DUOKIL,Duosperma kilimandscharica,8,0.000371611,0.000370607,0.000766717,0.039361403,0.070189521,0.065160733,0,0,0.012347091
6,hypoestes_forskaolii,HYPFOR,Hypoestes forskaolii,13,0.00144469,0.001443708,0.001972808,0,0.065008237,0.065160733,0,0,0.012347091
7,hoslundia_opposita,HOSOPP,Hoslundia opposita,13,0.002668412,0.002618427,0.006397108,0.026240935,0.069356028,0.065160733,0,0,0.018520636
8,iboza_spp.,IBO,Iboza spp.,13,0.000882481,0.000864443,0.001033538,0,0.065261333,0.065160733,0,0,0.012347091
9,ocimum_spp.,OCI,Ocimum spp.,13,0.002668412,0.002618427,0.006397108,0.026240935,0.069356028,0.065160733,0,0,0.018520636
10,jasminum_spp.,JAS,Jasminum spp.,13,0.00144469,0.001443708,0.001972808,0,0.065008237,0.065160733,0,0,0.012347091
11,olea_spp.,OLE,Olea spp.,11,1.66E-05,1.66E-05,0.002911402,0.013120468,0.066020198,0.065160733,0,0,0.006173545
12,cordia_ovalis,COROVA,Cordia ovalis,13,0.005558095,0.005544957,0.013985417,0.039361403,0.073342041,0.065160733,0,0,0.030867726
13,heliotropium_steudneri,HELSTE,Heliotropium steudneri,13,0.000285174,0.000284725,0.000484424,0,0.064116212,0.065160733,0,0,0.006173545
14,ipomoea_obscura,IPOOBS,Ipomoea obscura,13,0.002835928,0.002833342,0.00630209,0,0.066931767,0.065160733,0,0,0.018520636
15,solanum_dennekense,SOLDEN,Solanum dennekense,13,0.002668412,0.002618427,0.006397108,0.026240935,0.069356028,0.065160733,0,0,0.018520636
16,solanum_incanum,SOLINC,Solanum incanum,9,0.019581342,0.019431616,0.055998451,0.209927481,0.097447226,0.065160733,0,0,0.074082543
17,solanum_nigrum,SOLNIG,Solanum nigrum,13,0.00107331,0.001063426,0.004223892,0.026240935,0.068441563,0.065160733,0,0,0.012347091
18,pavetta_assimilis,PAVASS,Pavetta assimilis,13,0.003771029,0.003715322,0.008781201,0.013120468,0.06899425,0.065160733,0,0,0.024694181
19,achyranthes_aspera,ACHASP,Achyranthes aspera,13,0.00107331,0.001063426,0.004223892,0.026240935,0.068441563,0.065160733,0,0,0.012347091
20,pupalia_lappacea,PUPLAP,Pupalia lappacea,13,0.00144469,0.001443708,0.001972808,0,0.065008237,0.065160733,0,0,0.012347091
21,ximenia_caffra,XIMCAF,Ximenia caffra,13,0.001636299,0.001596472,0.001644111,0,0.066175799,0.065160733,0,0,0.018520636
22,grewia_arborea,GREFAL,Grewia fallax,13,0.003771029,0.003715322,0.008781201,0.013120468,0.06899425,0.065160733,0,0,0.024694181
23,grewia_bicolor,GREBIC,Grewia bicolor,9,0.009185484,0.009173943,0.117937603,0.118084208,0.084502466,0.065160733,0,0,0.043214817
24,grewia_trichocarpa,GRETRI,Grewia trichocarpa,13,0.005558095,0.005544957,0.013985417,0.039361403,0.073342041,0.065160733,0,0,0.030867726
25,hibiscus_lunariifolius,HIBLUN,Hibiscus lunariifolius,13,0.005558095,0.005544957,0.013985417,0.039361403,0.073342041,0.065160733,0,0,0.030867726
