Unique_link_identifier,Tip_label,Taxonomy,Metabolic_category,Feeding_type_-_consumer,Environment,Feeding_Mode,Trophic_Level,d15N,Mean_mass_(g),Mobility,Trophic_Uniqueness,Trophic_Flexibility
1,Actinocyclus_actinochilus,Actinocyclus_actinochilus,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,4.06E-11,1,,
2,Actinocyclus_spiritus,Actinocyclus_spiritus,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,1.64E-11,1,,
3,Adenocystis_utricularis,Adenocystis_utricularis,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,4.01E-12,1,,
4,Azpeitia_tabularis,Azpeitia_tabularis,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,1.14E-11,1,,
5,Banquisia_belgicae,Banquisia_belgicae,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,4.01E-12,1,,
6,Chaetoceros_bulbosum,Chaetoceros_bulbosum,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,6.04E-13,1,,
7,Chaetoceros_concavicornis,Chaetoceros_concavicornis,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,4.01E-12,1,,
8,,Chaetoceros_criophilum,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,4.01E-12,1,,
9,,Chaetoceros_dichaeta,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,6.04E-13,1,,
10,Chaetoceros_flexuosum,Chaetoceros_flexuosum,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,1.67E-12,1,,
11,,Chaetoceros_neglectum,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,9.11E-14,1,,
12,Chaetoceros_pelagicus,Chaetoceros_pelagicus,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,6.04E-13,1,,
13,Chaetoceros_socialis,Chaetoceros_socialis,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,1.71E-13,1,,
14,Corethron_criophilum,Corethron_criophilum,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,4.01E-12,1,,
15,,Coscinodiscus_oculoides,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,1.59E-09,1,,
16,,Cylindrotheca_closterium,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,4.89E-11,1,,
17,,Eucampica_antarctica,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,7.29E-12,1,,
18,Fragilariopsis_curta,Fragilariopsis_curta,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,9.11E-14,1,,
